09/13/21;01:15AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;01:20AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;01:25AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;01:30AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;01:35AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;01:40AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;01:45AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;01:50AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;01:55AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;02:00AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;02:05AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;02:10AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;02:15AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;02:20AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;02:25AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;02:30AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;02:35AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;02:40AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;02:45AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;02:50AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;02:55AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;03:00AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;03:05AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;03:10AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;03:15AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;03:20AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;03:25AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;03:30AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;03:35AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;03:40AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;03:45AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;03:50AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;03:55AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;04:00AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;04:05AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;04:10AM;BUY,BTC/USD Ask-85424900.89104857;SELL,ETH/BTC Bid-85424900.89104857EUR/USD Bid-85424900.89104857;68063205.16196209;0
09/13/21;04:15AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;04:20AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;04:25AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;04:30AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
09/13/21;04:35AM;BUY,BTC/USD Ask-2731886567.1162114;SELL,ETH/BTC Bid-2731886567.1162114EUR/USD Bid-2731886567.1162114;72592771.83684066;0
